Fecha,Hora,Pulsos,Lluvia Intervalo (mm),Lluvia Acumulada (mm)
2025-02-10,22:06:57,0,0.00,0.00
2025-02-10,22:21:57,0,0.00,0.00
2025-02-10,22:36:57,0,0.00,0.00
2025-02-10,22:51:57,0,0.00,0.00
2025-02-10,23:06:57,0,0.00,0.00
2025-02-10,23:21:57,0,0.00,0.00
2025-02-10,23:36:57,0,0.00,0.00
2025-02-10,23:51:57,0,0.00,0.00
2025-02-11,00:06:57,0,0.00,0.00
2025-02-11,00:21:57,0,0.00,0.00
2025-02-11,00:36:57,0,0.00,0.00
2025-02-11,00:51:57,0,0.00,0.00
2025-02-11,01:06:57,0,0.00,0.00
2025-02-11,01:21:57,0,0.00,0.00
2025-02-11,01:36:57,0,0.00,0.00
2025-02-11,01:51:57,0,0.00,0.00
2025-02-11,02:06:57,0,0.00,0.00
2025-02-11,02:21:56,0,0.00,0.00
2025-02-11,02:36:56,0,0.00,0.00
2025-02-11,02:51:56,0,0.00,0.00
2025-02-11,03:06:56,0,0.00,0.00
2025-02-11,03:21:56,0,0.00,0.00
2025-02-11,03:36:56,0,0.00,0.00
2025-02-11,03:51:56,0,0.00,0.00
2025-02-11,04:06:56,0,0.00,0.00
2025-02-11,04:21:56,0,0.00,0.00
2025-02-11,04:36:56,0,0.00,0.00
2025-02-11,04:51:56,0,0.00,0.00
2025-02-11,05:06:56,0,0.00,0.00
2025-02-11,05:21:56,1,0.30,0.30
2025-02-11,05:36:56,0,0.00,0.30
2025-02-11,05:51:56,0,0.00,0.30
2025-02-11,06:06:56,0,0.00,0.30
2025-02-11,06:21:56,0,0.00,0.30
2025-02-11,06:36:56,0,0.00,0.30
2025-02-11,06:51:56,0,0.00,0.30
2025-02-11,07:06:56,0,0.00,0.30
2025-02-11,07:21:56,0,0.00,0.30
2025-02-11,07:36:56,0,0.00,0.30
2025-02-11,07:51:56,0,0.00,0.30
2025-02-11,08:06:56,0,0.00,0.30
2025-02-11,08:21:56,0,0.00,0.30
2025-02-11,08:36:56,0,0.00,0.30
2025-02-11,08:51:56,0,0.00,0.30
2025-02-11,09:06:56,0,0.00,0.30
2025-02-11,09:21:56,0,0.00,0.30
2025-02-11,09:36:56,0,0.00,0.30
2025-02-11,09:51:56,3,0.89,1.19
2025-02-11,10:06:56,0,0.00,1.19
2025-02-11,10:21:56,0,0.00,1.19
2025-02-11,10:36:56,0,0.00,1.19
2025-02-11,10:51:56,0,0.00,1.19
2025-02-11,11:06:56,0,0.00,1.19
2025-02-11,11:21:56,0,0.00,1.19
2025-02-11,11:36:56,0,0.00,1.19
2025-02-11,11:51:56,0,0.00,1.19
2025-02-11,12:06:56,0,0.00,1.19
2025-02-11,12:21:56,0,0.00,1.19
2025-02-11,12:36:56,0,0.00,1.19
2025-02-11,12:51:56,0,0.00,1.19
2025-02-11,13:06:56,0,0.00,1.19
2025-02-11,13:21:56,0,0.00,1.19
2025-02-11,13:36:56,0,0.00,1.19
2025-02-11,13:51:56,0,0.00,1.19
2025-02-11,14:06:56,0,0.00,1.19
2025-02-11,14:21:56,0,0.00,1.19
2025-02-11,14:36:56,0,0.00,1.19
2025-02-11,14:51:56,0,0.00,1.19
2025-02-11,15:06:56,0,0.00,1.19
2025-02-11,15:21:56,0,0.00,1.19
2025-02-11,15:36:56,0,0.00,1.19
2025-02-11,15:51:56,0,0.00,1.19
2025-02-11,16:06:56,0,0.00,1.19
2025-02-11,16:21:56,0,0.00,1.19
2025-02-11,16:36:56,0,0.00,1.19
2025-02-11,16:51:56,0,0.00,1.19
2025-02-11,17:06:55,0,0.00,1.19
2025-02-11,17:21:55,0,0.00,1.19
2025-02-11,17:36:55,0,0.00,1.19
2025-02-11,17:51:55,0,0.00,1.19
